Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Parle Point, City Light Town, Athwa, Surat, Gujarat 395007, India, Vesu, Surat, Gujarat - 395003"
Graduate (Bachelor Degree),Fluent English,Freshers can apply,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 10 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Parle Point, City Light Town, Athwa, Surat, Gujarat 395007, India, Vesu, Surat, Gujarat - 395003"
Graduate (Bachelor Degree),Fluent English,Freshers can apply,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 10 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Good English,Freshers can apply,Male Only,"305-306, Times Square 1, Near Baghban Circle, Thaltej - Shilaj Road, Thaltej, Ahmedabad, Gujarat - 380001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
12th Pass (Associate Degree),Thoda English,Freshers can apply,Male Only,"Guntur, Guntur, Andhra Pradesh - 522001"
12th Pass (Associate Degree),Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Thoda English,Freshers can apply,Both,"Hyderabad, Hyderabad, Telangana - 500001"
Graduate (Bachelor Degree),Fluent English,Min. 10 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
12th Pass (Associate Degree),Fluent English,Min. 1 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 10 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 3 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 3 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 2 Years,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Min. 2 Years,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
12th Pass (Associate Degree),Fluent English,Freshers only,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Min. 6.0 months,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Min. 2 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Post Graduate (Postgraduate Degree),Fluent English,Min. 5 Years,Both,"7/2/1, Mackenzie Ln, near GST Office, Babudanga, Mali Panchghara, Howrah, West Bengal 711101, Howrah, Kolkata, West Bengal - 700080"
Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Both,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India, Noida Sector 16, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 3 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Fluent English,Freshers can apply,Female Only,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Fluent English,Freshers can apply,Both,"Delhi-NCR, Delhi-NCR, Delhi - 110001"
12th Pass (Associate Degree),Thoda English,Min. 3 Years,Both,"Basement, VR1 and U&I Centre, City Center, SCO-83, Leisure Valley Rd, Sector 29, Gurugram, Haryana 122001, Sector 29 Police Station Gurgaon, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 3 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Male Only,"Rairu Farm, Agra Mumbai Road, Gwalior 474010,  Madhya Pradesh, India, Rairu, Gwalior, Madhya Pradesh - 474001"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Both,"IT Park Rd, Phase - I, Sector 13, Panchkula, Haryana 160101, India, DLF City Centre chandigarh, Chandigarh, Punjab - 133301"

Graduate (Bachelor Degree),Fluent English,Min. 2 Years,Both,"f-11, Shivalik Residency, Lalita Chowkadi, Katargam, Surat, Gujarat 395004, India, Gujarat - 395003"
Graduate (Bachelor Degree),Good English,Min. 6.0 months,Male Only,"Churchgate, Mumbai, Maharashtra, India, Maharashtra - 400076"
Graduate (Bachelor Degree),Good English,Min. 3 Years,Both,"Godrej & Boyce, Gate No 2, Plant No. 6, LBS Marg,, Opposite Vikhroli Bus Depot, Vikhroli West, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai, Maharashtra 400079, India, Maharashtra - 400076"
Graduate (Bachelor Degree),Good English,Min. 3 Years,Both,"221, Sector 63 Rd, G Block, Sector 63, Noida, Uttar Pradesh 201301, India, Noida Electronic City, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"4th floor , Omkaram Tower, D245, Amrapali Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021, India, Bhankrota, Jaipur, Rajasthan - 302001"
Post Graduate (Postgraduate Degree),Fluent English,Min. 5 Years,Both,"1, 4th Floor, Bikaner Pinnacle, Rhenius St, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025, India, Richmond Circle, Bengaluru, Karnataka - 560001"
Post Graduate (Postgraduate Degree),Fluent English,Min. 5 Years,Female Only,"https://www.google.com/maps?q=28.4532404,77.0680856&z=17&hl=en, Ramada Hotel Gurgaon, Delhi-NCR, Delhi - 110001"
Graduate (Bachelor Degree),Good English,Min. 3 Years,Both,"601, Lohia Jain Square, Bavdhan, Pune, Maharashtra 411021, India, Bavdhan Khind / Chandni Chowk, Pune, Maharashtra - 411002"
Graduate (Bachelor Degree),Good English,Min. 10 Years,Male Only,"Hanspal Square, Bhubaneswar, Odisha 752101, India, Rasulgarh, Bhubaneswar, Odisha - 750017"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Diploma (Associate Degree),Thoda English,Min. 2 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Graduate (Bachelor Degree),Good English,Freshers can apply,Both,"Lotus Corporate Park D-401 CTS No.185/A Graham Firth Compound Western Express Highway Goregaon East Mumbai 400 063, Goregaon East, Mumbai, Maharashtra - 400076"
Graduate (Bachelor Degree),Good English,Min. 2 Years,Both,"Chennai, Chennai, Tamil Nadu - 600001"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Both,"Bengaluru, Bengaluru, Karnataka - 560001"
Post Graduate (Postgraduate Degree),Thoda English,Min. 5 Years,Both,"Mahim, Mumbai, Maharashtra, India, Maharashtra - 400076"
Graduate (Bachelor Degree),Good English,Min. 5 Years,Both,"Bellary Rd, Amruthnagar, Hebbal, Bengaluru, Karnataka 560092, India, Karnataka - 560001"
Graduate (Bachelor Degree),Good English,Freshers can apply,Both,"Lotus Corporate Park D-401 CTS No.185/A Graham Firth Compound Western Express Highway Goregaon East Mumbai 400 063, Goregaon East, Mumbai, Maharashtra - 400076"

Graduate (Bachelor Degree),Fluent English,Min. 1 Years,Both,"Mumbai, Maharashtra, India, A.H.School, Mumbai, Maharashtra - 400076"
Diploma (Associate Degree),Thoda English,Min. 10 Years,Both,"2-46, 2/8, Madhapur Rd, RBI Colony, Phase 2, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081, India, Telangana - 500001"
Graduate (Bachelor Degree),Good English,Min. 10 Years,Both,"PR7, International Airport Road, Zirakpur, Punjab 140603, India, Zirakpur chandigarh, Chandigarh, Punjab - 133301"
Graduate (Bachelor Degree),Fluent English,Min. 5 Years,Both,"Lucknow, Lucknow, Uttar Pradesh - 226001"
Diploma (Associate Degree),Fluent English,Min. 5 Years,Both,"Prems, 28/2, N Main Rd, Opp. Lane 3, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India, Koregaon Park / ABC Farm, Pune, Maharashtra - 411002"
